1575761875216,0
1575761875248,5760
1575761875253,3840
1575761875259,14400
1575761875289,17600
1575761875310,11520
1575761875389,12136
1575761875434,13160
1575761875477,9600
1575761875534,17568
1575761875601,11776
1575761875670,12848
1575761875744,11400
1575761875822,11856
1575761875904,11664
1575761875991,11696
1575761876065,9600
1575761876167,15656
1575761876283,11960
1575761876411,12288
1575761876540,11440
1575761876671,17600
1575761876907,4800
1575761877111,11200
1575761877276,9184
1575761877516,12800
1575761877721,11200
1575761877927,56
